company_id,jobview_url,Position(Company),Description
837931200,https://www.linkedin.com/jobs/view/837931200/,KGS-Senior Analyst-Research-Bangalore,"The candidate must have 2-4 years of relevant experience in a similar role, particularly in a leading consulting firm. Strong numerical, analytical and strategic thinking skills..."
675749419,https://www.linkedin.com/jobs/view/675749419/,Assistant Manager Cybersecurity,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
870225244,https://www.linkedin.com/jobs/view/870225244/,Web Development Internship in Mumbai at Darwin Tech,"...About Darwin Tech ( http://techdarwin.com ):An emerging travel analytics and technology start-up working on a cutting-edge B2B travel intelligence application. The company is co-founded by two ex-<B>KPMG</B> consultants, one of the co-founders has had experience in travel space for 8 years and the second..."
779062918,https://www.linkedin.com/jobs/view/779062918/,KAAP Manager,"Other Experience (common For Both Skills Requirements Mentioned Above) Understanding of business processes, such as Order to cash, Procure to pay and preferably hands on ..."
796096432,https://www.linkedin.com/jobs/view/796096432/,Consultant_ .Net Azure_UK Tax Tech,"Ability to design, develop, test and debug Web Applications using .NET, C#, MVC, WebServices, Windows Services, SQL Server and Javascript, Kendo Grid controls, JQury, JSON, HTML..."
760681111,https://www.linkedin.com/jobs/view/760681111/,KGS: MC : DWBI Assistant Manager/Consultant/Associate Consultant,Work with KPMG US and client (Financial Services major in US) &#x2013; to drive and implement Data Governance strategy. Work Experience: 2-9 years. Identify opportunities to leverage ...
737586164,https://www.linkedin.com/jobs/view/737586164/,KGS - MC - Associate Consultant/Consultant -SAP FICO,Shoud have proven experience in dealing with clients directly on various Fianance and Controlling business process. Should have experienced in atleast 2 End to End ...
738183563,https://www.linkedin.com/jobs/view/738183563/,Assistant Manager- Qliksense/ Qlikview,Strong inter-personal skills and ability to work with teams in different parts of the world. Excellent communication skills and capability to effectively work with both &#x2018;...
729727230,https://www.linkedin.com/jobs/view/729727230/,Associate Consultant / Consultant- SQL Server Developer K-Tech,"Extensive hands on Application development experience with one of Databases (MS SQL Server, Oracle, DB2, etc). Data sourcing experience, including data error handling and data ..."
834953366,https://www.linkedin.com/jobs/view/834953366/,Senior - Transfer Pricing,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
133329041,https://www.linkedin.com/jobs/view/133329041/,Audit Manager,Qualified Chartered Accountants with 5 to 6 years experience in Statutory Audit. Big 4 experience would be an added advantage. Experience in managing a team. Exposure working in...
650961755,https://www.linkedin.com/jobs/view/650961755/,KGS-MC- Consultant- SAP HANA/BOBJ,"Strong experience in reporting with SAP BW info providers such as Info objects, composite providers and Advanced DSO. Experience on ODP extraction for standard data sources ..."
634879773,https://www.linkedin.com/jobs/view/634879773/,KGS - RC - RPA - Senior,"Hands-on experience of Process Automation across the life-cycle, using industry&#x2019;s leading Robotics Automation products. Scripting languages (e.g., python, perl, powershell, ..."
